Unnamed: 0,GeoFips,GeoName,Income Growth,CAGR,Total Growth Rate,Environmental Risk Score,Normalized Risk Score,CleanCounty,State,CombinedScore,TopGenre
17,16027,"Canyon, ID",0.8272976018026719,9.421868819229172,32.53848427898727,0,0,canyon,ID,10.249166421031843,classic rock
3,41017,"Deschutes, OR",1.056533348646243,8.269752875268455,30.814977136559968,0,0,deschutes,OR,9.326286223914698,pop
11,4021,"Pinal, AZ",0.923640473897936,8.375411905302933,20.923192355187812,0,0,pinal,AZ,9.29905237920087,rap
10,49053,"Washington, UT",0.935540468380502,8.20472731674522,42.77975601476335,0,0,washington,UT,9.140267785125722,modern rock
13,16055,"Kootenai, ID",0.8726079147829318,8.098045017307642,32.164635243806735,0,0,kootenai,ID,8.970652932090575,vocaloid
1,30031,"Gallatin, MT",1.1267216906739566,7.792158465529453,39.25918490262999,0,0,gallatin,MT,8.918880156203409,classic rock
7,12099,"Palm Beach, FL",0.9881319162124222,7.468654190732304,14.74111262405602,0,0,palm beach,FL,8.456786106944726,florida drill
15,12115,"Sarasota, FL",0.8416208279459139,7.417850619221733,21.69456188104477,0,0,sarasota,FL,8.259471447167646,rock
22,47187,"Williamson, TN",0.810069271517182,7.320578892306773,41.7203249381911,0,0,williamson,TN,8.130648163823954,blues
5,12085,"Martin, FL",1.0121088336129551,7.084389730404928,10.66512743095639,0,0,martin,FL,8.096498564017883,trap latino
